nombre,poblacion,superficie,continente
Albania,2812000,28748,Europa
Macedonia del Norte,2065000,25713,Europa
Bosnia y Herzegovina,3271000,51197,Europa
Montenegro,620739,13812,Europa
Moldavia,2615000,33846,Europa
Bielorrusia,9340000,207600,Europa
Mónaco,39050,2,Europa
Andorra,79034,468,Europa
San Marino,33745,61,Europa
Liechtenstein,39039,160,Europa
Vaticano,800,1,Europa
Japón,125800000,377975,Asia
China,1412000000,9596961,Asia
India,1408000000,3287263,Asia
Corea del Sur,51740000,100210,Asia
Turquía,84780000,783562,Asia
Indonesia,273800000,1904569,Asia
Pakistán,231400000,796095,Asia
Bangladés,169400000,147570,Asia
Filipinas,113900000,300000,Asia
Vietnam,97470000,331212,Asia
Irán,87920000,1648195,Asia
Tailandia,71600000,513120,Asia
Myanmar,53800000,676578,Asia
Irak,43530000,438317,Asia
Afganistán,40100000,652864,Asia
Arabia Saudita,35950000,2149690,Asia
Uzbekistán,34920000,448978,Asia
Malasia,33570000,329847,Asia
Yemen,32980000,527968,Asia
Nepal,30030000,147181,Asia
Corea del Norte,25970000,120540,Asia
Sri Lanka,22160000,65610,Asia
Kazajistán,19000000,2724900,Asia
Siria,21320000,185180,Asia
Camboya,16590000,181035,Asia
Jordania,11150000,89342,Asia
Azerbaiyán,10140000,86600,Asia
Emiratos Árabes Unidos,9365000,83600,Asia
Tayikistán,9750000,143100,Asia
Israel,9558000,20770,Asia
Laos,7425000,236800,Asia
Líbano,5593000,10452,Asia
Kirguistán,6694000,199951,Asia
Turkmenistán,6342000,488100,Asia
Singapur,5454000,728,Asia
Omán,4520000,309500,Asia
Kuwait,4250000,17818,Asia
Georgia,3709000,69700,Asia
Mongolia,3348000,1564116,Asia
Armenia,2791000,29743,Asia
Catar,2688000,11586,Asia
Baréin,1463000,765,Asia
Timor Oriental,1321000,14874,Asia
Bután,777486,38394,Asia
Maldivas,521457,300,Asia
Brunéi,445373,5765,Asia
Egipto,104000000,1001450,África
Sudáfrica,59390000,1221037,África
Nigeria,213400000,923768,África
Etiopía,120300000,1104300,África
República Democrática del Congo,95890000,2344858,África
Tanzania,63590000,947303,África
Kenia,53010000,580367,África
Uganda,45850000,241038,África
Argelia,44180000,2381741,África
Sudán,45640000,1861484,África
Marruecos,37080000,446550,África
Angola,34500000,1246700,África
Ghana,32830000,238533,África
Madagascar,28920000,587041,África
Costa de Marfil,27480000,322463,África
Camerún,27190000,475442,África
Níger,25250000,1267000,África
Mali,21900000,1240192,África
Burkina Faso,22100000,274200,África
Malaui,19890000,118484,África
Zambia,19470000,752618,África
Chad,17180000,1284000,África
Somalia,17070000,637657,África
Senegal,16880000,196722,África
Zimbabue,15990000,390757,África
Guinea,13530000,245857,África
Ruanda,13460000,26338,África
Benín,12990000,112622,África
Túnez,12260000,163610,África
Burundi,12550000,27834,África
Sudán del Sur,10750000,619745,África
Togo,8644000,56785,África
Sierra Leona,8420000,71740,África
Libia,6735000,1759540,África
República del Congo,5836000,342000,África
Liberia,5193000,111369,África
República Centroafricana,5457000,622984,África
Eritrea,3620000,117600,África
Mauritania,4615000,1030700,África
Namibia,2530000,824292,África
Botsuana,2588000,581730,África
Gambia,2640000,11300,África
Gabón,2341000,267668,África
Lesoto,2281000,30355,África
Guinea-Bisáu,2061000,36125,África
Guinea Ecuatorial,1634000,28051,África
Mauricio,1265000,2040,África
Suazilandia,1192000,17364,África
Yibuti,1106000,23200,África
Comoras,821625,2235,África
Cabo Verde,587925,4033,África
Santo Tomé y Príncipe,223107,964,África
Seychelles,106471,452,África
Australia,25690000,7692024,Oceanía
Nueva Zelanda,5120000,268021,Oceanía
Papúa Nueva Guinea,9949000,462840,Oceanía
Fiyi,924610,18274,Oceanía
Islas Salomón,724273,28896,Oceanía
Vanuatu,319137,12189,Oceanía
Samoa,218764,2831,Oceanía
Kiribati,128874,811,Oceanía
Tonga,106017,747,Oceanía
Estados Federados de Micronesia,113131,702,Oceanía
Palau,18055,459,Oceanía
Islas Marshall,42050,181,Oceanía
Nauru,12511,21,Oceanía
Tuvalu,11204,26,Oceanía
Taiwán,23570000,36197,Asia
